"name","credits","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate8","gradRate9","gradRate10","gradRate11","gradRate12","averageTTD"
"Accountancy - 178.json","123","75.0","177","62","115","174","62","717","177","540","776","177","28","33","0.02","0.2","0.56","0.82","0.94","10.4906"
"Applied Baccalaureate - 83.json","118","75.0","155","51","104","110","51","569","107","462","431","107","17","25","0.01","0.18","0.51","0.77","0.91","10.6654"
"BBA Accounting - 21.json","120","75.0","166","60","106","150","60","705","202","503","706","202","21","32","0.04","0.3","0.66","0.87","0.96","10.189"
"Behavior Science - 120.json","123","75.0","148","41","107","117","41","560","92","468","448","92","23","20","0.01","0.17","0.52","0.8","0.94","10.587"
"BFA Dance - 172.json","101","75.0","79","12","67","29","12","318","38","280","125","38","42","6","0.37","0.73","0.92","0.98","0.99","8.9552"
"Biology - 44.json","123","75.0","181","56","125","83","56","527","106","421","229","106","31","17","0.01","0.13","0.45","0.78","0.93","1.8354222038458993e167"
"Biomedical Sciences - 143.json","115","75.0","296","98","198","324","98","1112","268","844","1220","268","17","35","0.06","0.29","0.59","0.8","0.92","10.4008"
"BS Biochemistry - 47.json","120","75.0","212","68","144","142","68","671","143","528","459","143","27","18","0.02","0.2","0.55","0.82","0.94","10.502"
"Chemical Engineering - 48.json","123","75.0","437","180","257","669","180","1570","426","1144","2840","426","25","34","0.0","0.06","0.23","0.46","0.67","11.9398"
"Chemistry and Biochemistry - 32.json","123","75.0","190","76","114","255","76","978","246","732","1452","246","5","27","0.02","0.16","0.44","0.69","0.86","10.9264"
"Civil Engineering - 191.json","126","75.0","334","127","207","404","127","1231","330","901","1583","330","20","38","0.0","0.05","0.24","0.53","0.76","11.6116"
"Computer Information Systems - 183.json","124","75.0","155","53","102","142","53","547","122","425","566","122","30","25","0.01","0.17","0.54","0.82","0.94","10.5416"
"Computer Science - 164.json","122","75.0","72","14","58","31","14","319","49","270","142","49","29","11","0.02","0.19","0.55","0.82","0.94","10.5122"
"Criminal Justice - 181.json","123","75.0","73","12","61","21","12","299","31","268","89","31","31","10","0.01","0.19","0.55","0.83","0.95","10.4836"
"Early Childhood Education - 189.json","126","75.0","155","54","101","129","54","734","216","518","708","216","26","21","0.01","0.12","0.4","0.7","0.88","10.965"
"Electrical Engineering - 192.json","127","75.0","371","150","221","490","150","1317","392","925","2026","392","19","38","0.0","0.02","0.17","0.43","0.68","12.0222"
"Engineering Design and Technology - 162.json","127","75.0","141","46","95","100","46","536","129","407","425","129","27","27","0.0","0.1","0.41","0.74","0.91","10.8782"
"Exercise Science - 156.json","114","75.0","149","47","102","149","47","533","115","418","572","115","23","25","0.09","0.41","0.73","0.9","0.96","9.9234"
"Film, Vedio and Media - 124.json","123","75.0","66","14","52","30","14","244","27","217","108","27","30","12","0.0","0.13","0.46","0.79","0.93","10.7146"
"Finance - 180.json","122","75.0","164","58","106","157","58","655","157","498","735","157","28","27","0.01","0.17","0.51","0.79","0.93","10.6214"
"General Psychology - 129.json","123","75.0","75","15","60","34","15","268","22","246","108","22","31","14","0.01","0.15","0.5","0.81","0.94","10.6074"
"Geography - 43.json","120","75.0","52","4","48","9","4","198","6","192","21","6","37","3","0.02","0.23","0.6","0.86","0.96","10.3398"
"Graph Design - 173.json","122","75.0","164","63","101","166","63","639","183","456","724","183","25","34","0.01","0.17","0.5","0.78","0.91","10.6806"
"HCM-Clinical - 70.json","138","75.0","169","54","115","118","54","667","116","551","450","116","24","25","0.0","0.02","0.2","0.55","0.82","11.4736"
"HCM-RDSC - 71.json","115","75.0","140","47","93","97","47","559","105","454","399","105","22","21","0.09","0.41","0.74","0.92","0.98","9.8674"
"Human Resource Management - 118.json","122","75.0","72","13","59","30","13","282","30","252","111","30","33","9","0.03","0.24","0.61","0.87","0.96","10.3014"
"Integrated Supply Management - 184.json","129","75.0","145","51","94","123","51","520","129","391","527","129","32","30","0.0","0.04","0.29","0.63","0.85","11.2472"
"Interdisciplinary Health Services - 193.json","122","75.0","65","11","54","17","11","307","42","265","88","42","31","8","0.02","0.25","0.61","0.85","0.96","10.319"
"Management - 185.json","131","75.0","150","52","98","133","52","481","103","378","429","103","29","28","0.0","0.04","0.28","0.63","0.86","11.2714"
"Marketing - 182.json","122","75.0","150","54","96","141","54","616","163","453","677","163","29","31","0.01","0.17","0.53","0.8","0.93","10.5788"
"Mathematics - 42.json","120","75.0","121","32","89","103","32","428","70","358","349","70","28","14","0.02","0.23","0.58","0.85","0.95","10.3898"
"Mechanical Engineering - 165.json","128","75.0","400","167","233","625","167","1394","418","976","2446","418","17","56","0.0","0.06","0.28","0.57","0.78","11.5142"
"Music Theatre Performance - 158.json","111","75.0","128","39","89","114","39","590","155","435","636","155","30","17","0.05","0.28","0.6","0.81","0.91","10.412"
"Music Therapy - 174.json","122","75.0","136","36","100","117","36","474","77","397","441","77","43","17","0.03","0.28","0.66","0.88","0.96","10.1976"
"Nursing - 177.json","125","75.0","256","122","134","598","122","1076","481","595","3202","481","20","40","0.0","0.03","0.12","0.29","0.49","12.7518"
"Organizational Communication - 117.json","123","75.0","66","14","52","30","14","244","27","217","108","27","30","12","0.01","0.13","0.47","0.78","0.93","10.7264"
"Public Relations - 125.json","123","75.0","78","18","60","39","18","306","43","263","159","43","29","15","0.01","0.13","0.46","0.76","0.93","10.7442"
"Sales and Business - 114.json","123","75.0","108","31","77","72","31","454","105","349","345","105","26","24","0.01","0.15","0.5","0.79","0.93","10.6466"
