"name","credits","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"0.json","18","22.5","6","0","6","0","0","12","0","12","0","0","6","0","0.0","0.02","0.05","0.1","0.17","12.18"
"1.json","18","22.5","9","1","8","2","1","19","2","17","5","2","5","1","0.0","0.01","0.04","0.07","0.13","13.1026"
"10.json","18","22.5","11","2","9","4","2","23","4","19","10","4","5","2","0.0","0.01","0.03","0.07","0.12","13.4372"
"100.json","18","22.5","18","4","14","9","4","32","5","27","17","5","3","3","0.0","0.01","0.02","0.04","0.08","15.0398"
"101.json","18","22.5","22","6","16","14","6","38","8","30","28","8","3","4","0.0","0.0","0.01","0.02","0.05","16.4006"
"102.json","18","22.5","24","6","18","14","6","44","8","36","28","8","2","4","0.0","0.0","0.01","0.02","0.04","16.89240796"
"103.json","18","22.5","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.01","0.01","0.03","17.4654"
"104.json","18","22.5","18","4","14","9","4","32","5","27","17","5","3","3","0.0","0.01","0.02","0.05","0.09","14.983"
"105.json","18","22.5","24","6","18","14","6","44","8","36","28","8","2","4","0.0","0.0","0.01","0.02","0.04","16.916"
"106.json","18","22.5","22","6","16","14","6","38","8","30","28","8","3","4","0.0","0.0","0.01","0.03","0.05","16.4652"
"107.json","18","22.5","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.0","0.02","0.03","17.6688"
"108.json","18","22.5","22","6","16","14","6","41","8","33","28","8","2","4","0.0","0.0","0.01","0.02","0.05","16.30169304"
"109.json","18","22.5","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.0","0.01","0.03","17.6322"
"11.json","18","22.5","13","3","10","6","3","28","6","22","15","6","4","3","0.0","0.01","0.02","0.05","0.1","14.0862"
"110.json","18","22.5","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.0","0.01","0.03","17.59753376"
"111.json","18","22.5","28","10","18","24","10","50","14","36","50","14","2","6","0.0","0.0","0.01","0.02","0.03","18.1928"
"112.json","18","22.5","13","3","10","6","3","21","3","18","9","3","4","3","0.0","0.01","0.04","0.08","0.13","13.3938"
"113.json","18","22.5","21","6","15","14","6","35","7","28","26","7","3","4","0.0","0.0","0.01","0.03","0.06","16.2184"
"114.json","18","22.5","21","6","15","14","6","35","7","28","26","7","3","4","0.0","0.0","0.01","0.03","0.06","16.1338"
"115.json","18","22.5","26","9","17","22","9","45","11","34","43","11","2","5","0.0","0.0","0.01","0.02","0.04","17.6732"
"116.json","18","22.5","19","5","14","11","5","33","6","27","20","6","3","4","0.0","0.01","0.02","0.04","0.08","15.1472"
"117.json","18","22.5","23","7","16","17","7","39","9","30","33","9","3","5","0.0","0.0","0.01","0.02","0.04","17.031"
"118.json","18","22.5","26","8","18","19","8","46","10","36","37","10","2","5","0.0","0.0","0.01","0.02","0.04","17.6848"
"119.json","18","22.5","28","10","18","25","10","49","13","36","50","13","2","6","0.0","0.0","0.01","0.01","0.03","18.282"
"12.json","18","22.5","11","2","9","4","2","24","4","20","10","4","4","2","0.0","0.01","0.04","0.08","0.14","13.0136"
"120.json","18","22.5","19","5","14","11","5","33","6","27","20","6","3","4","0.0","0.01","0.02","0.04","0.08","15.281"
"121.json","18","22.5","26","8","18","19","8","46","10","36","37","10","2","5","0.0","0.0","0.0","0.01","0.03","17.646"
